year	Academy Award	Winner	Movie Name	Producer	IMDB Rating	IMDB Votes	Tomatometer	Average Critic Score	Percent Audience Liked	Average Audience Score	Release Date	Production Budget	Domestic Gross	Worldwide Gross	Normalized Budget	Normalized Gross	Return on Investment
2014	87th	FALSE	Whiplash	Jason Blum	8.5	420041	94	8.6	94	9	10/10/2014	3300000	13092006	33474334	0.007764566	0.012024177	10.14373758
2014	87th	FALSE	The Theory of Everything	Tim Bevan	7.7	274825	79	7.3	84	8	11/7/2014	15000000	35893537	122147772	0.035293982	0.043876195	8.1431848
2014	87th	TRUE	Birdman or (The Unexpected Virtue of Ignorance)	Alejandro G. Iñárritu	7.8	404650	91	8.5	77	7.8	10/17/2014	18000000	42340598	103215094	0.042352806	0.037075466	5.734171889
2014	87th	FALSE	American Sniper	Clint Eastwood	7.3	333047	72	6.8	85	8.2	12/25/2014	58000000	350126372	547326372	0.136470466	0.196602838	9.436661586
2014	87th	FALSE	The Grand Budapest Hotel	Wes Anderson	8.1	491790	92	8.4	86	8.2	3/7/2014	31000000	59076019	164350409	0.072941046	0.059035629	5.301626097
2014	87th	FALSE	Boyhood	Richard Linklater and Cathleen Sutherland	7.9	272461	98	9.2	81	8	7/11/2014	4000000	25379975	57273049	0.009411625	0.020572815	14.31826225
2014	87th	FALSE	The Imitation Game	Nora Grossman	8.1	488622	90	7.7	91	8.4	11/28/2014	15000000	91125143	227773686	0.035293982	0.081817642	15.1849124
2014	87th	FALSE	Selma	Christian Colson	7.5	62883	99	8.7	86	8.2	12/25/2014	20000000	52076908	66776908	0.047058689	0.023986656	3.3388454
2013	86th	FALSE	Her	Megan Ellison	5.9	97	95	8.5	82	8	12/18/2013	23000000	25568251	48783090	0.054117514	0.017523172	2.121003913
2013	86th	FALSE	American Hustle	Charles Roven	7.3	363690	93	8.2	74	7.6	12/13/2013	40000000	150117807	257878294	0.094117519	0.092631393	6.44695735
2013	86th	FALSE	Captain Phillips	Scott Rudin	7.9	329581	93	8.3	89	8.4	10/11/2013	55000000	107136417	220648184	0.129411642	0.07925812	4.011785164
2013	86th	FALSE	Gravity	Alfonso Cuarón and David Heyman	10	7	96	9	80	8	10/4/2013	110000000	274092705	716392705	0.258823425	0.257332455	6.512660955
2013	86th	FALSE	Dallas Buyers Club	Robbie Brenner and Rachel Winter	8	334002	94	7.8	91	8.4	11/1/2013	5000000	27298285	60611845	0.011764566	0.02177213	12.122369
2013	86th	FALSE	Nebraska	Albert Berger and Ron Yerxa	7.7	92423	91	8.1	83	8	11/15/2013	12000000	17654912	24761360	0.028235157	0.008894426	2.063446667
2013	86th	TRUE	12 Years a Slave	Brad Pitt	8.1	452005	96	9	90	8.6	10/18/2013	20000000	56671993	181025343	0.047058689	0.065025363	9.05126715
2013	86th	FALSE	The Wolf of Wall Street	Martin Scorsese	8.2	804876	77	7.7	82	8	12/25/2013	100000000	116900694	391976723	0.23529401	0.140800334	3.91976723
2013	86th	FALSE	Philomena	Gabrielle Tana	7.6	77401	92	7.8	89	8.2	11/22/2013	12000000	37709979	98963392	0.028235157	0.03554823	8.246949333
2012	85th	FALSE	Beasts of the Southern Wild	Dan Janvey	7.3	71182	86	8.2	76	7.6	6/27/2012	1800000	12795746	23265132	0.004235154	0.008356972	12.92507333
2012	85th	FALSE	Django Unchained	Stacey Sher	8.5	978431	88	8	91	8.6	12/25/2012	100000000	162805434	449948323	0.23529401	0.161624072	4.49948323
2012	85th	FALSE	Silver Linings Playbook	Donna Gigliotti	7.8	542281	92	8.2	86	8.2	11/16/2012	21000000	132092958	236412453	0.049411631	0.084920738	11.25773586
2012	85th	FALSE	Zero Dark Thirty	Mark Boal	7.4	219293	92	8.6	80	8	12/19/2012	52500000	95720716	134612435	0.123529288	0.048353575	2.564046381
2012	85th	FALSE	Life of Pi	Gil Netter	9	5	87	7.9	84	8.2	11/21/2012	120000000	124987022	607987022	0.28235284	0.218392499	5.066558517
2012	85th	FALSE	Amour	Margaret Menegoz	7.9	71679	93	8.7	82	8	12/19/2012	9700000	6738954	36787044	0.022823392	0.013214122	3.792478763
2012	85th	FALSE	Les Misérables	Tim Bevan	7.6	247346	69	6.9	79	8		61000000		148775460	0.143529291	0.053441016	2.438941967
2012	85th	TRUE	Argo	Grant Heslov	7.7	459836	96	8.4	90	8.4	10/12/2012	44500000	136025503	227140757	0.104705756	0.08159029	5.104286674
