"year","Academy Award","Winner","Movie Name","Producer","IMDB Rating","IMDB Votes","Tomatometer","Average Critic Score","Percent Audience Liked","Average Audience Score","Release Date","Production Budget","Domestic Gross","Worldwide Gross","Normalized Budget","Normalized Gross","Return on Investment"
2014,"87th","False","Whiplash","Jason Blum",8.5,420041,94,8.6,94,9,"10/10/2014",3300000,13092006,33474334,0.0077645658,0.0120241768,10.1437375758
2014,"87th","False","The Theory of Everything","Tim Bevan",7.7,274825,79,7.3,84,8,"11/7/2014",15000000,35893537,122147772,0.0352939815,0.043876195,8.1431848
2014,"87th","True","Birdman or (The Unexpected Virtue of Ignorance)","Alejandro G. Iñárritu",7.8,404650,91,8.5,77,7.8,"10/17/2014",18000000,42340598,103215094,0.042352806,0.0370754662,5.7341718889
2014,"87th","False","American Sniper","Clint Eastwood",7.3,333047,72,6.8,85,8.2,"12/25/2014",58000000,350126372,547326372,0.1364704663,0.1966028378,9.4366615862
2014,"87th","False","The Grand Budapest Hotel","Wes Anderson",8.1,491790,92,8.4,86,8.2,"3/7/2014",31000000,59076019,164350409,0.0729410456,0.0590356293,5.3016260968
2014,"87th","False","Boyhood","Richard Linklater and Cathleen Sutherland",7.9,272461,98,9.2,81,8,"7/11/2014",4000000,25379975,57273049,0.0094116249,0.0205728146,14.31826225
2014,"87th","False","The Imitation Game","Nora Grossman",8.1,488622,90,7.7,91,8.4,"11/28/2014",15000000,91125143,227773686,0.0352939815,0.0818176418,15.1849124
2014,"87th","False","Selma","Christian Colson",7.5,62883,99,8.7,86,8.2,"12/25/2014",20000000,52076908,66776908,0.047058689,0.0239866564,3.3388454
2013,"86th","False","Her","Megan Ellison",5.9,97,95,8.5,82,8,"12/18/2013",23000000,25568251,48783090,0.0541175135,0.0175231716,2.121003913
2013,"86th","False","American Hustle","Charles Roven",7.3,363690,93,8.2,74,7.6,"12/13/2013",40000000,150117807,257878294,0.0941175192,0.0926313933,6.44695735
2013,"86th","False","Captain Phillips","Scott Rudin",7.9,329581,93,8.3,89,8.4,"10/11/2013",55000000,107136417,220648184,0.1294116418,0.0792581197,4.0117851636
2013,"86th","False","Gravity","Alfonso Cuarón and David Heyman",10,7,96,9,80,8,"10/4/2013",110000000,274092705,716392705,0.2588234248,0.2573324546,6.5126609545
2013,"86th","False","Dallas Buyers Club","Robbie Brenner and Rachel Winter",8,334002,94,7.8,91,8.4,"11/1/2013",5000000,27298285,60611845,0.0117645664,0.0217721296,12.122369
2013,"86th","False","Nebraska","Albert Berger and Ron Yerxa",7.7,92423,91,8.1,83,8,"11/15/2013",12000000,17654912,24761360,0.0282351569,0.0088944255,2.0634466667
2013,"86th","True","12 Years a Slave","Brad Pitt",8.1,452005,96,9,90,8.6,"10/18/2013",20000000,56671993,181025343,0.047058689,0.0650253632,9.05126715
2013,"86th","False","The Wolf of Wall Street","Martin Scorsese",8.2,804876,77,7.7,82,8,"12/25/2013",100000000,116900694,391976723,0.2352940097,0.1408003342,3.91976723
2013,"86th","False","Philomena","Gabrielle Tana",7.6,77401,92,7.8,89,8.2,"11/22/2013",12000000,37709979,98963392,0.0282351569,0.0355482299,8.2469493333
2012,"85th","False","Beasts of the Southern Wild","Dan Janvey",7.3,71182,86,8.2,76,7.6,"6/27/2012",1800000,12795746,23265132,0.0042351535,0.0083569716,12.9250733333
2012,"85th","False","Django Unchained","Stacey Sher",8.5,978431,88,8,91,8.6,"12/25/2012",100000000,162805434,449948323,0.2352940097,0.1616240724,4.49948323
2012,"85th","False","Silver Linings Playbook","Donna Gigliotti",7.8,542281,92,8.2,86,8.2,"11/16/2012",21000000,132092958,236412453,0.0494116305,0.0849207375,11.2577358571
2012,"85th","False","Zero Dark Thirty","Mark Boal",7.4,219293,92,8.6,80,8,"12/19/2012",52500000,95720716,134612435,0.123529288,0.0483535749,2.564046381
2012,"85th","False","Life of Pi","Gil Netter",9,5,87,7.9,84,8.2,"11/21/2012",120000000,124987022,607987022,0.2823528399,0.2183924985,5.0665585167
2012,"85th","False","Amour","Margaret Menegoz",7.9,71679,93,8.7,82,8,"12/19/2012",9700000,6738954,36787044,0.0228233915,0.0132141216,3.7924787629
2012,"85th","False","Les Misérables","Tim Bevan",7.6,247346,69,6.9,79,8,,61000000,,148775460,0.1435292909,0.0534410164,2.4389419672
2012,"85th","True","Argo","Grant Heslov",7.7,459836,96,8.4,90,8.4,"10/12/2012",44500000,136025503,227140757,0.104705756,0.08159029,5.1042866742
2012,"85th","False","Lincoln","Steven Spielberg and Kathleen Kennedy",6,8,90,8,80,8,"11/9/2012",65000000,182207973,273346281,0.1529410569,0.0981875848,4.2053274
2011,"84th","False","Midnight in Paris","Letty Aronson and Stephen Tenenbaum",7.7,306318,93,7.8,83,8,"5/20/2011",30000000,56816662,162882755,0.0705881041,0.0585084394,5.4294251667
2011,"84th","False","The Tree of Life","Sarah Green",7.4,44,84,8.1,60,6.6,"5/27/2011",35000000,13305665,61721826,0.0823528116,0.0221708413,1.7634807429
2011,"84th","False","Hugo","Graham King and Martin Scorsese",7.5,248840,94,8.3,78,7.8,"11/23/2011",180000000,73864507,180047784,0.4235293304,0.0646742183,1.0002654667
2011,"84th","True","The Artist","Thomas Langmann",7.2,6,97,8.8,87,8.4,"11/25/2011",16000000,44667095,128256712,0.037646923,0.046070562,8.0160445
2011,"84th","False","The Descendants","Jim Burke",7.3,207007,89,8.1,79,7.6,"11/16/2011",20000000,82624961,175507800,0.047058689,0.0630434295,8.77539
2011,"84th","False","Extremely Loud & Incredibly Close","Scott Rudin",6.9,82819,46,5.5,61,7,,40000000,,31836745,0.0941175192,0.0114359452,0.795918625
2011,"84th","False","War Horse","Steven Spielberg and Kathleen Kennedy",7.2,117927,76,7,74,7.6,"12/25/2011",70000000,79883359,156815529,0.1647057644,0.0563290563,2.2402218429
2011,"84th","False","The Help","Brunson Green",8.6,653,75,7,89,8.4,"8/10/2011",25000000,169705587,213120004,0.0588233965,0.0765539534,8.52480016
2011,"84th","False","Moneyball","Michael De Luca",7.6,287554,94,8,86,8,"9/23/2011",50000000,75605492,111300835,0.1176469343,0.0399799117,2.2260167
2010,"83rd","False","The Social Network","Scott Rudin",7.7,488022,96,9,86,8.2,"10/1/2010",40000000,96962694,224922135,0.0941175192,0.080793348,5.623053375
2010,"83rd","False","Winter's Bone","Anne Rosellini and Alix Madigan-Yorkin",7.2,113015,94,8.3,76,7.4,"6/11/2010",2000000,6531503,16131551,0.0047057418,0.0057945476,8.0657755
2010,"83rd","False","True Grit","Scott Rudin",7.7,245009,96,8.4,85,8,"12/22/2010",35000000,171243005,252276928,0.0823528116,0.0906193498,7.2079122286
2010,"83rd","False","Toy Story 3","Darla K. Anderson",8.3,556525,99,8.9,89,8.6,"6/18/2010",200000000,415004880,1069818229,0.4705881606,0.3842849723,5.349091145
2010,"83rd","False","127 Hours","Christian Colson",7.3,9,93,8.3,85,8,"11/5/2010",18000000,18335230,60217171,0.042352806,0.0216303604,3.3453983889
2010,"83rd","True","The King's Speech","Iain Canning",8,514217,95,8.6,92,8.6,,15000000,,138795342,0.0352939815,0.0498560996,9.2530228
2010,"83rd","False","Black Swan","Mike Medavoy",6.3,7,87,8.2,84,8,"12/3/2010",13000000,106954678,331266710,0.0305880984,0.118992942,25.4820546154
2010,"83rd","False","The Kids Are All Right","Gary Gilbert",7.3,7,93,7.8,73,7.2,"7/9/2010",4000000,20811365,36275469,0.0094116249,0.0130303609,9.06886725
2010,"83rd","False","Inception","Emma Thomas and Christopher Nolan",7.6,569,86,8.1,91,8.4,"7/16/2010",160000000,292576195,832584416,0.3764705002,0.2990691976,5.2036526
2010,"83rd","False","The Fighter","David Hoberman",7.8,29,90,7.8,89,8.2,"12/10/2010",11000000,93617009,129262388,0.0258822154,0.0464318067,11.7511261818
2009,"82nd","False","A Serious Man","Joel Coen and Ethan Coen",7,103802,89,7.9,67,7,"10/2/2009",7000000,9228788,30360570,0.0164704494,0.0109056945,4.3372242857
2009,"82nd","False","Inglourious Basterds","Lawrence Bender",8.3,905555,89,7.8,87,7.8,"8/20/2009",70000000,120774594,316915264,0.1647057644,0.1138378186,4.5273609143
2009,"82nd","False","Precious: Based on the Novel 'Push' by Sapphire","Lee Daniels",7.3,88297,91,7.8,81,7.2,,10000000,,47536959,0.0235292739,0.017075554,4.7536959
2009,"82nd","False","Up in the Air","Daniel Dubiecki",7.2,71,91,8.1,79,7.4,"12/4/2009",30000000,83823381,166842739,0.0705881041,0.0599308888,5.5614246333
2009,"82nd","False","Up","Jonas Rivera",6.3,98,98,8.7,90,7.6,"5/29/2009",175000000,293004164,731542621,0.4117646228,0.2627743931,4.1802435486
2009,"82nd","False","The Blind Side","Gil Netter",7.7,227224,66,6.1,85,8.2,"11/20/2009",35000000,255959475,305705794,0.0823528116,0.1098113113,8.7344512571
2009,"82nd","False","An Education","Finola Dwyer and Amanda Posey",3.4,71,94,7.9,80,7.6,"10/9/2009",7500000,12574914,29652736,0.0176469201,0.0106514364,3.9536981333
2009,"82nd","False","District 9","Peter Jackson and Carolynne Cunningham",7.2,9,90,7.8,82,7,"8/14/2009",30000000,115646235,212453431,0.0705881041,0.0763145165,7.0817810333
2009,"82nd","True","The Hurt Locker","Kathryn Bigelow",7.1,375,98,8.5,84,7.8,"6/26/2009",15000000,17017811,49894223,0.0352939815,0.0179222971,3.3262815333
2009,"82nd","False","Avatar","James Cameron and Jon Landau",7.9,899530,83,7.5,82,8.2,"12/18/2009",425000000,760507625,2783918982,1,1,6.5503976047
2008,"81st","False","Frost/Nixon","Brian Grazer",7.7,89381,92,7.9,88,7.6,"12/5/2008",29000000,18622031,28452945,0.0682351626,0.0102204645,0.9811360345
2008,"81st","True","Slumdog Millionaire","Christian Colson",8,651130,92,8.4,90,8,"11/12/2008",14000000,141319928,384519665,0.0329410399,0.1381217153,27.4656903571
2008,"81st","False","Milk","Dan Jinks and Bruce Cohen",9.3,6,94,8,89,8,"11/26/2008",20000000,31841299,57293371,0.047058689,0.0205801144,2.86466855
2008,"81st","False","The Reader","Anthony Minghella",7.6,192318,82,7.1,71,7.2,"12/10/2008",32500000,34194407,113019290,0.0764704579,0.0405971908,3.4775166154
2008,"81st","False","The Curious Case of Benjamin Button","Kathleen Kennedy",7.8,466710,72,7.1,80,7.4,"12/25/2008",160000000,127509326,329809326,0.3764705002,0.1184694411,2.0613082875
2007,"80th","False","Michael Clayton","Sydney Pollack",7.3,135029,90,7.6,69,7,"10/5/2007",21500000,49033882,92987651,0.0505881013,0.0334017087,4.3250070233
2007,"80th","False","Atonement","Tim Bevan",9,6,83,7.4,80,7.6,"12/7/2007",30000000,50980159,129779728,0.0705881041,0.0466176382,4.3259909333
2007,"80th","False","Juno","Lianne Halfon",7.5,419757,94,8.1,88,8.2,"12/5/2007",7000000,143495265,231450102,0.0164704494,0.0831382319,33.0643002857
2007,"80th","True","No Country for Old Men","Scott Rudin",8.1,626193,93,8.7,86,8,"11/9/2007",25000000,74273505,164051250,0.0588233965,0.0589281696,6.56205
2007,"80th","False","There Will Be Blood","JoAnne Sellar",8.2,6,91,8.4,86,8,"12/26/2007",25000000,40222514,77208711,0.0588233965,0.0277338211,3.08834844
2006,"79th","False","The Queen","Andy Harries",7.3,86435,92,7.3,88,8.4,"9/30/2006",15000000,56441711,128885873,0.0352939815,0.0462965603,8.5923915333
2006,"79th","True","The Departed","Graham King",8.5,891309,91,8.2,94,8.2,"10/6/2006",90000000,132384315,289660619,0.2117645946,0.1040477905,3.2184513222
2006,"79th","False","Letters from Iwo Jima","Clint Eastwood",7.9,133474,91,8.2,86,7.6,"12/20/2006",13000000,13756082,67867998,0.0305880984,0.0243785823,5.2206152308
2006,"79th","False","Little Miss Sunshine","David T. Friendly",7.8,361214,91,7.7,91,8,"7/26/2006",8000000,59891098,100642353,0.0188233909,0.0361513225,12.580294125
2006,"79th","False","Babel","Alejandro González Iñárritu",7.5,246744,100,7.2,83,7.2,"10/27/2006",20000000,34302837,132121212,0.047058689,0.047458713,6.6060606
2005,"78th","False","Munich","Kathleen Kennedy",4.6,30,78,7.5,83,7.2,"12/23/2005",75000000,47379090,131492772,0.176470472,0.0472329737,1.75323696
2005,"78th","False","Good Night and Good Luck.","Grant Heslov",7.5,84690,93,8.1,83,7.2,,,7500000,,,,
2005,"78th","True","Crash","Paul Haggis and Cathy Schulman",5.3,9,75,6.8,70,7,"5/6/2005",7303082,55334418,101173038,0.0171835836,0.0363419477,13.8534714522
2005,"78th","False","Capote","Caroline Baron",7.4,102036,90,8.2,81,7.2,"9/30/2005",7000000,28750530,49924079,0.0164704494,0.0179330215,7.1320112857
2005,"78th","False","Brokeback Mountain","Diana Ossana and James Schamus",7.7,263100,87,8.2,82,6.8,"12/9/2005",13900000,83043761,177012173,0.0327057458,0.0635838091,12.734688705
2004,"77th","True","Million Dollar Baby","Clint Eastwood",8.1,491177,91,8.4,90,7.6,"12/15/2004",30000000,100492203,232016402,0.0705881041,0.0833416502,7.7338800667
2004,"77th","False","The Aviator","Michael Mann and Graham King",7.5,268588,87,7.8,79,6.8,"12/17/2004",110000000,102608827,208370892,0.2588234248,0.0748480446,1.8942808364
2004,"77th","False","Finding Neverland","Richard N. Gladstein and Nellie Bellflower",7.8,176051,83,7.5,87,7.4,"11/12/2004",25000000,51676606,115036108,0.0588233965,0.0413216436,4.60144432
2004,"77th","False","Ray","Taylor Hackford",8.8,97,81,7.3,87,7.6,"10/29/2004",40000000,75305995,124823094,0.0941175192,0.0448371863,3.12057735
2004,"77th","False","Sideways","Michael London",7.5,151701,96,8.5,78,6.8,"10/22/2004",17000000,71502303,109793192,0.0399998645,0.0394383575,6.4584230588
2003,"76th","True","The Lord of the Rings: The Return of the King","Barrie M. Osborne",8.3,1724,95,8.7,86,7.4,"12/17/2003",94000000,377845905,1141408667,0.2211763606,0.4100006769,12.1426453936
2003,"76th","False","Lost in Translation","Ross Katz and Sofia Coppola",6.8,6,95,8.4,86,7.2,"9/12/2003",4000000,44585453,117085297,0.0094116249,0.0420577243,29.27132425
2003,"76th","False","Master and Commander: The Far Side of the World","Samuel Goldwyn",7.4,170223,85,7.6,80,6.8,"11/14/2003",135000000,93926386,212912137,0.3176469625,0.0764792864,1.5771269407
2003,"76th","False","Seabiscuit","Kathleen Kennedy",8,69,77,7.1,76,6.6,"7/25/2003",86000000,120277854,148715342,0.2023528286,0.0534194217,1.7292481628
2003,"76th","False","Mystic River","Robert Lorenz",8,343132,87,7.7,89,7.4,"10/8/2003",30000000,90135191,156822020,0.0705881041,0.0563313879,5.2274006667
2002,"75th","False","The Pianist","Roman Polanski",8.5,510731,96,8.2,95,8.2,"12/27/2002",35000000,32519322,111854182,0.0823528116,0.0401786772,3.1958337714
2002,"75th","False","The Lord of the Rings: The Two Towers","Barrie M. Osborne",8.3,1979,96,8.5,95,8.2,"12/18/2002",94000000,342548984,934703179,0.2211763606,0.3357508552,9.9436508404
2002,"75th","False","The Hours","Scott Rudin and Robert Fox",7.6,103404,81,7.4,84,7.4,"12/27/2002",25000000,41675994,97030468,0.0588233965,0.0348539123,3.88121872
2002,"75th","False","Gangs of New York","Alberto Grimaldi and Harvey Weinstein",6.7,83,75,7.1,81,7,"12/20/2002",97000000,77730500,183124621,0.2282351852,0.0657794362,1.8878826907
2002,"75th","True","Chicago","Martin Richards",8,24,86,8,83,7,"12/27/2002",30000000,170687518,306776732,0.0705881041,0.1101959985,10.2258910667
2001,"74th","False","In the Bedroom","Graham Leader",7.5,32655,93,7.9,81,7.4,"11/23/2001",1700000,35930604,42137871,0.0039998594,0.01513617,24.7869829412
2001,"74th","True","A Beautiful Mind","Brian Grazer and Ron Howard",8.2,624867,75,7.2,93,7.8,"12/21/2001",78000000,170708996,317668058,0.1835292965,0.1141082266,4.0726674103
