"year"," Academy Award"," Winner"," Movie Name"," Producer"," IMDB Rating"," IMDB Votes","Tomatometer","Average Critic Score","Percent Audience Liked","Average Audience Score"
1927," 1st"," False"," The Racket"," The Caddo Company",6.9,646,100,6.9,75,7.2
1927," 1st"," False"," 7th Heaven"," Fox",7.8,2090,100,9.3,84,8
1927," 1st"," True"," Wings"," Paramount Famous Lasky",7.8,8086,95,7.4,78,7.6
1928," 2nd"," False"," Alibi"," Feature Productions",6,460,43,5.8,41,6.6
1928," 2nd"," False"," In Old Arizona"," Fox",5.8,616,56,5.4,44,6.2
1928," 2nd"," True"," The Broadway Melody"," Metro-Goldwyn-Mayer",6.3,4616,35,5.3,21,5.6
1928," 2nd"," False"," Hollywood Revue"," Metro-Goldwyn-Mayer",7.6,1507,40,5.4,17,5.8
1929," 3rd"," True"," All Quiet on the Western Front"," Universal",8.1,47445,98,8.9,89,7.8
1929," 3rd"," False"," The Big House"," Cosmopolitan",7.2,1235,83,7.2,78,7.2
1929," 3rd"," False"," Disraeli"," Warner Bros.",6.4,728,80,6.4,41,6.4
1929," 3rd"," False"," The Divorcee"," Metro-Goldwyn-Mayer",6.8,1950,75,6.4,63,7
1929," 3rd"," False"," The Love Parade"," Paramount Famous Lasky",7.2,1403,100,7.9,78,7.4
1930," 4th"," True"," Cimarron"," RKO Radio",6,3739,53,5.6,25,5.6
1930," 4th"," False"," The Front Page"," The Caddo Company",6.9,1428,73,5.8,73,7.2
1930," 4th"," False"," Skippy"," Paramount Publix",6.3,455,100,7,54,6.6
1930," 4th"," False"," Trader Horn"," Metro-Goldwyn-Mayer",6.5,644,100,7.1,33,6
1931," 5th"," False"," Arrowsmith"," Samuel Goldwyn Productions",6.2,1037,86,7.2,42,6.2
1931," 5th"," False"," The Champ"," Metro-Goldwyn-Mayer",7.3,2041,83,6.5,79,7.6
1931," 5th"," False"," Five Star Final"," First National",7.3,1178,91,7.2,77,7.6
1931," 5th"," True"," Grand Hotel"," Metro-Goldwyn-Mayer",7.6,13143,86,7.8,77,7.6
1931," 5th"," False"," One Hour with You"," Paramount Publix",7.4,1438,100,7.7,78,7.4
1931," 5th"," False"," Shanghai Express"," Paramount Publix",7.4,4993,100,8.6,81,7.6
1931," 5th"," False"," The Smiling Lieutenant"," Paramount Publix",7.8,2616,88,7.7,72,7.4
1932," 6th"," True"," Cavalcade"," Fox",6,3130,59,6.5,26,5.8
1932," 6th"," False"," A Farewell to Arms"," Paramount",6.6,3594,92,7.8,51,6.4
1932," 6th"," False"," 42nd Street"," Warner Bros.",7.7,8069,95,7.8,75,7.2
1932," 6th"," False"," I Am a Fugitive from a Chain Gang"," Warner Bros.",8.1,9109,100,8.3,91,8.2
1932," 6th"," False"," Lady for a Day"," Columbia",7.5,2734,100,7.6,79,7.6
1932," 6th"," False"," Little Women"," RKO Radio",7.4,4752,90,7.5,84,7
1932," 6th"," False"," The Private Life of Henry VIII"," London Films",7.2,2635,100,8.1,75,7
1932," 6th"," False"," She Done Him Wrong"," Paramount",6.5,4245,90,7.4,53,6.8
1932," 6th"," False"," State Fair"," Fox",6.9,543,80,6.3,78,7.2
1934," 7th"," False"," The Barretts of Wimpole Street"," Metro-Goldwyn-Mayer",7.1,1132,71,6.9,71,7.4
1934," 7th"," False"," Cleopatra"," Paramount",7,21963,55,5.9,70,6.8
1934," 7th"," False"," Flirtation Walk"," First National",5.8,416,100,6.9,33,6
1934," 7th"," False"," The Gay Divorcee"," RKO Radio",7.6,5339,100,7.8,83,7.8
1934," 7th"," False"," The House of Rothschild"," 20th Century",6.8,714,100,7.6,69,7.6
1934," 7th"," False"," Imitation of Life"," Universal",7.6,2946,84,7.7,91,8.4
1934," 7th"," True"," It Happened One Night"," Columbia",8.2,66354,98,8.9,93,8.2
