"Timestamp","Please rank the following (No repeat ranks, must rank each row) [Budget]","Please rank the following (No repeat ranks, must rank each row) [Producer]","Please rank the following (No repeat ranks, must rank each row) [Average Critic score (Rotten Tomatoes)]","Please rank the following (No repeat ranks, must rank each row) [IMDB Rating]","Please rank the following (No repeat ranks, must rank each row) [Number of IMDB ratings]","Please rank the following (No repeat ranks, must rank each row) [Average User Score (Rotten Tomatoes)]","Please rank the following (No repeat ranks, must rank each row) [Profit ratio]","Please rank the following (No repeat ranks, must rank each row) [Total Box office sales]","How much do you enjoy researching movies, such as browsing IMDB, Wikipedia pages, and looking up actors?","How much do you enjoy watching movies?","How often do you watch the Oscars or similar movie award shows?","What is your current age?","Are you currently attending University?"
"2016/11/22 11:53:38 AM PST","1 (Least Likely Predictor)","2","8 (Most Likely Predictor)","4","3","5","6","7","3","4","Watch them a few times","21","Yes, currently attending"
"2016/11/26 6:25:58 PM PST","1 (Least Likely Predictor)","4","7","6","5","3","2","8 (Most Likely Predictor)","2","5","Watch them a few times","21","Yes, currently attending"
"2016/11/26 6:33:38 PM PST","3","8 (Most Likely Predictor)","7","5","2","6","4","1 (Least Likely Predictor)","2","3","Watch them a few times","","Yes, currently attending"
"2016/11/26 6:35:54 PM PST","1 (Least Likely Predictor)","8 (Most Likely Predictor)","5","2","4","7","3","6","1","4","Watch them a few times","21","Yes, currently attending"
"2016/11/26 11:55:21 PM PST","1 (Least Likely Predictor)","7","8 (Most Likely Predictor)","3","2","4","5","6","5","5","Watch them most times they're on","19","Yes, currently attending"
"2016/11/27 12:55:44 PM PST","2","6","8 (Most Likely Predictor)","4","7","5","1 (Least Likely Predictor)","3","3","4","Never watch them","22","No, graduated"
"2016/11/27 1:37:00 PM PST","1 (Least Likely Predictor)","2","8 (Most Likely Predictor)","5","3","7","6","4","4","5","Watch them most times they're on","21","Yes, currently attending"
"2016/11/27 2:20:02 PM PST","3","8 (Most Likely Predictor)","7","4","1 (Least Likely Predictor)","6","2","5","4","4","Watch them a few times","21","Yes, currently attending"
"2016/11/27 6:11:13 PM PST","7","1 (Least Likely Predictor)","8 (Most Likely Predictor)","6","5","3","4","2","2","4","Never watch them","19","Yes, currently attending"
"2016/11/27 10:43:53 PM PST","3","5","8 (Most Likely Predictor)","2","1 (Least Likely Predictor)","6","4","7","4","4","Watch them a few times","21","Yes, currently attending"
"2016/11/27 11:14:20 PM PST","2","8 (Most Likely Predictor)","7","4","6","3","5","1 (Least Likely Predictor)","5","2","Never watch them","21","Yes, currently attending"
"2016/11/27 11:28:43 PM PST","1 (Least Likely Predictor)","5","6","7","2","8 (Most Likely Predictor)","4","3","2","5","Never watch them","21","Yes, currently attending"
"2016/11/28 12:33:18 PM PST","1 (Least Likely Predictor)","7","8 (Most Likely Predictor)","5","2","4","6","3","4","5","Never watch them","19","Yes, currently attending"
"2016/11/28 12:40:31 PM PST","2","7","8 (Most Likely Predictor)","6","1 (Least Likely Predictor)","5","4","3","5","5","Watch them a few times","21","Yes, currently attending"
"2016/11/28 1:02:33 PM PST","1 (Least Likely Predictor)","2","5","8 (Most Likely Predictor)","7","4","3","6","1","3","Never watch them","21","Yes, currently attending"
"2016/11/28 1:04:37 PM PST","2","7","8 (Most Likely Predictor)","6","1 (Least Likely Predictor)","3","5","4","5","5","Watch them most times they're on","19","Yes, currently attending"
"2016/11/28 1:10:15 PM PST","5","7","3","2","1 (Least Likely Predictor)","4","6","8 (Most Likely Predictor)","3","5","Watch them a few times","20","Yes, currently attending"
"2016/11/28 1:28:39 PM PST","4","8 (Most Likely Predictor)","1 (Least Likely Predictor)","3","5","2","6","7","1","3","Watch them a few times","21","Yes, currently attending"
"2016/11/28 1:43:32 PM PST","1 (Least Likely Predictor)","3","6","7","4","2","5","8 (Most Likely Predictor)","3","5","Watch them a few times","21","Yes, currently attending"
"2016/11/28 2:14:56 PM PST","2","6","8 (Most Likely Predictor)","7","3","4","5","1 (Least Likely Predictor)","3","4","Watch them a few times","21","Yes, currently attending"
"2016/11/28 2:57:34 PM PST","1 (Least Likely Predictor)","6","3","5","4","2","8 (Most Likely Predictor)","7","3","5","Watch them a few times","20","Yes, currently attending"
"2016/11/28 3:27:44 PM PST","3","8 (Most Likely Predictor)","7","5","1 (Least Likely Predictor)","6","2","4","3","4","Watch them a few times","19","Yes, currently attending"
"2016/11/28 6:10:09 PM PST","3","1 (Least Likely Predictor)","7","6","5","8 (Most Likely Predictor)","2","4","1","3","Never watch them","21","Yes, currently attending"
"2016/11/28 6:12:45 PM PST","4","7","8 (Most Likely Predictor)","2","1 (Least Likely Predictor)","5","6","3","2","5","Watch them most times they're on","21","Yes, currently attending"
"2016/11/28 6:13:55 PM PST","4","8 (Most Likely Predictor)","5","6","1 (Least Likely Predictor)","2","3","7","4","4","Watch them a few times"," 22","Yes, currently attending"
"2016/11/28 6:16:26 PM PST","2","7","6","4","1 (Least Likely Predictor)","5","3","8 (Most Likely Predictor)","5","4","Watch them a few times","21","Yes, currently attending"
"2016/11/28 6:17:28 PM PST","6","7","2","4","3","5","1 (Least Likely Predictor)","8 (Most Likely Predictor)","3","5","Watch them a few times","22","Yes, currently attending"
"2016/11/28 6:29:40 PM PST","7","1 (Least Likely Predictor)","3","2","4","8 (Most Likely Predictor)","5","6","3","5","Watch them a few times","23","No, graduated"
"2016/11/28 6:35:07 PM PST","5","7","3","4","2","1 (Least Likely Predictor)","6","8 (Most Likely Predictor)","5","4","Watch them a few times","20","Yes, currently attending"
"2016/11/28 6:36:47 PM PST","7","8 (Most Likely Predictor)","3","2","4","5","6","1 (Least Likely Predictor)","1","4","Never watch them","21","No, never attended"
"2016/11/28 6:39:26 PM PST","5","8 (Most Likely Predictor)","7","4","2","6","1 (Least Likely Predictor)","3","3","5","Never watch them","21","Yes, currently attending"
"2016/11/28 6:44:05 PM PST","4","7","8 (Most Likely Predictor)","2","1 (Least Likely Predictor)","3","5","6","3","3","Watch them a few times","21","Yes, currently attending"
"2016/11/28 6:44:06 PM PST","3","8 (Most Likely Predictor)","7","6","1 (Least Likely Predictor)","2","4","5","2","5","Watch them a few times","22","Yes, currently attending"
"2016/11/28 6:47:31 PM PST","4","5","8 (Most Likely Predictor)","3","1 (Least Likely Predictor)","2","7","6","2","4","Never watch them","22","Yes, currently attending"
"2016/11/28 6:50:00 PM PST","6","8 (Most Likely Predictor)","4","3","1 (Least Likely Predictor)","7","5","2","2","2","Watch them a few times","87","No, still in High School or below"
"2016/11/28 6:55:40 PM PST","3","7","8 (Most Likely Predictor)","6","5","4","1 (Least Likely Predictor)","2","5","4","Watch them a few times","22","Yes, currently attending"
"2016/11/28 6:56:30 PM PST","3","1 (Least Likely Predictor)","7","8 (Most Likely Predictor)","6","5","4","2","4","5","Watch them most times they're on","21","Yes, currently attending"
"2016/11/28 7:20:14 PM PST","3","2","8 (Most Likely Predictor)","4","1 (Least Likely Predictor)","7","6","5","3","5","Watch them most times they're on","20","Yes, currently attending"
"2016/11/28 8:12:02 PM PST","6","3","7","4","1 (Least Likely Predictor)","2","5","8 (Most Likely Predictor)","1","5","Watch them a few times","21","No, graduated"
"2016/11/28 8:35:02 PM PST","2","1 (Least Likely Predictor)","8 (Most Likely Predictor)","7","4","6","5","3","5","5","Watch them a few times","20","Yes, currently attending"
"2016/11/28 8:42:10 PM PST","1 (Least Likely Predictor)","7","2","6","4","3","5","8 (Most Likely Predictor)","3","5","Watch them a few times","22","Yes, currently attending"
"2016/11/28 9:07:33 PM PST","6","7","5","4","3","2","1 (Least Likely Predictor)","8 (Most Likely Predictor)","5","3","Watch them a few times","21","Yes, currently attending"
"2016/11/28 9:23:19 PM PST","1 (Least Likely Predictor)","8 (Most Likely Predictor)","7","6","3","5","2","4","5","5","Never watch them","30","No, graduated"
"2016/11/28 9:45:53 PM PST","4","8 (Most Likely Predictor)","7","2","6","1 (Least Likely Predictor)","5","3","5","5","Watch them every time they're on and review past awards I haven't seen","21","No, graduated"
"2016/11/28 9:56:04 PM PST","4","6","8 (Most Likely Predictor)","7","1 (Least Likely Predictor)","2","5","3","5","5","Watch them every time they're on","19","Yes, currently attending"
